time,channel_c
2024-01-28T09:12:44.531252-08:00,0.3583413686283572
2024-01-28T09:12:45.531252-08:00,0.3836948472275413
2024-01-28T09:12:46.531252-08:00,0.9963335515068289
2024-01-28T09:12:47.531252-08:00,0.7539072495801836
2024-01-28T09:12:48.531252-08:00,0.7023922590155645
2024-01-28T09:12:49.531252-08:00,0.25561715849715744
2024-01-28T09:12:50.531252-08:00,0.5694787962865526
2024-01-28T09:12:52.531252-08:00,0.9598539271439543
2024-01-28T09:12:53.531252-08:00,0.8251028382570161
2024-01-28T09:12:54.531252-08:00,0.407590907943275
2024-01-28T09:12:55.531252-08:00,0.2872819025384998
2024-01-28T09:12:56.531252-08:00,0.5869616167673772
2024-01-28T09:12:57.531252-08:00,0.9568875633460442
2024-01-28T09:12:58.531252-08:00,0.703233083472776
2024-01-28T09:12:59.531252-08:00,0.7322267937013178
2024-01-28T09:13:00.531252-08:00,0.8209383644559006
2024-01-28T09:13:01.531252-08:00,0.9151461394004176
2024-01-28T09:13:02.531252-08:00,0.8486339884028036
2024-01-28T09:13:03.531252-08:00,0.1565551267309683
2024-01-28T09:13:04.531252-08:00,0.4669848760366126
2024-01-28T09:13:05.531252-08:00,0.8402548823816924
